N,	,종,목,명,	,현,재,가,	,전,일,비,	,등,락,률,	,액,면,가,	,시,가,총,액,	,상,장,주,식,수,	,외,국,인,비,율,	,거,래,량,	,P,E,R,	,R,O,E,	,토,론,실
1,삼성전자,"55,000","하락
				1,600",-2.83%,100,"3,255,801","5,919,638",50.18,"8,184,731",11.11,9.03,
2,SK하이닉스,"175,400","하락
				5,200",-2.88%,"5,000","1,276,916","728,002",53.73,"1,744,136",6.45,31.06,
3,LG에너지솔루션,"345,000",보합0,0.00%,500,"807,300","234,000",4.40,"91,932",-79.24,-4.93,
4,삼성바이오로직스,"1,027,000","하락
				7,000",-0.68%,"2,500","730,957","71,174",13.13,"14,185",67.47,10.45,
5,현대차,"184,000","하락
				3,000",-1.60%,"5,000","385,326","209,416",35.93,"324,979",4.00,12.43,
6,삼성전자우,"45,650","하락
				1,050",-2.25%,100,"372,492","815,975",74.16,"406,740",9.22,N/A,
7,한화에어로스페이스,"791,000","상승
				20,000",+2.59%,"5,000","360,547","45,581",47.09,"150,658",16.85,53.94,
8,셀트리온,"159,900","상승
				100",+0.06%,"1,000","356,990","223,258",22.40,"193,869",86.20,2.46,
9,기아,"85,600","하락
				200",-0.23%,"5,000","340,408","397,673",38.72,"263,083",3.51,19.09,
10,HD현대중공업,"356,500","상승
				3,000",+0.85%,"5,000","316,476","88,773",9.90,"148,880",50.92,11.39,
11,KB금융,"78,700","상승
				700",+0.90%,"5,000","309,707","393,528",74.78,"336,178",6.19,8.86,
12,NAVER,"185,200","상승
				1,300",+0.71%,100,"293,425","158,437",48.48,"228,067",15.55,7.90,
13,한화오션,"78,400","하락
				1,000",-1.26%,"5,000","240,228","306,413",11.15,"1,226,106",45.48,11.52,
14,신한지주,"47,300","상승
				200",+0.42%,"5,000","238,130","503,445",57.92,"382,998",5.41,8.11,
15,현대모비스,"241,000","하락
				500",-0.21%,"5,000","224,118","92,995",41.91,"37,052",5.54,9.35,
16,메리츠금융지주,"113,700","하락
				500",-0.44%,500,"209,923","184,629",16.05,"88,356",9.56,23.44,
17,POSCO홀딩스,"254,750","하락
				2,750",-1.07%,"5,000","206,177","80,933",29.43,"72,957",19.49,2.00,
18,삼성물산,"115,300","하락
				100",-0.09%,100,"195,983","169,977",27.82,"40,709",9.39,6.83,
19,크래프톤,"378,500","상승
				9,500",+2.57%,100,"181,343","47,911",41.60,"63,340",13.93,21.10,
20,HMM,"19,310","상승
				90",+0.47%,"5,000","170,129","881,039",9.49,"376,294",3.82,15.35,
21,카카오,"38,100","하락
				750",-1.93%,100,"169,115","443,872",27.95,"776,218",307.26,0.56,
22,삼성화재,"350,500","하락
				500",-0.14%,500,"166,049","47,375",53.61,"13,584",8.55,13.11,
23,하나금융지주,"57,700","상승
				400",+0.70%,"5,000","165,738","287,241",66.56,"182,297",4.48,9.11,
24,HD한국조선해양,"228,000","상승
				2,000",+0.88%,"5,000","161,363","70,773",31.58,"78,766",13.76,11.16,
25,삼성생명,"79,600","상승
				100",+0.13%,500,"159,200","200,000",21.69,"37,415",7.56,6.18,
26,한국전력,"24,400","상승
				250",+1.04%,"5,000","156,639","641,964",16.82,"983,628",4.49,9.22,
27,LG화학,"220,000","하락
				5,000",-2.22%,"5,000","155,303","70,592",31.01,"100,147",-24.93,-2.11,
28,두산에너빌리티,"23,850","하락
				250",-1.04%,"5,000","152,774","640,561",23.68,"1,526,638",137.07,1.52,
29,SK이노베이션,"95,600","하락
				2,100",-2.15%,"5,000","144,389","151,035",13.72,"133,409",-4.50,-9.65,
30,고려아연,"687,000","하락
				7,000",-1.01%,"5,000","142,232","20,703",12.28,"3,342",74.76,2.28,
31,KT&G,"109,900","상승
				2,100",+1.95%,"5,000","134,147","122,062",43.86,"147,317",12.25,12.66,
32,삼성중공업,"14,690","상승
				150",+1.03%,"1,000","129,272","880,000",29.94,"3,654,874",201.23,1.77,
33,KT,"48,900","상승
				1,250",+2.62%,"5,000","123,239","252,022",49.00,"160,678",26.43,2.85,
34,SK텔레콤,"57,200","상승
				1,000",+1.78%,100,"122,860","214,790",42.39,"467,838",9.85,10.83,
35,삼성SDI,"178,400","하락
				4,200",-2.30%,"5,000","122,676","68,765",31.76,"144,978",21.41,3.13,
36,우리금융지주,"16,400","하락
				10",-0.06%,"5,000","121,785","742,592",45.26,"505,499",3.96,9.39,
37,현대로템,"108,600","상승
				3,800",+3.63%,"5,000","118,529","109,142",30.92,"699,186",29.13,21.85,
38,기업은행,"14,410","상승
				50",+0.35%,"5,000","114,909","797,426",13.74,"203,488",4.35,8.06,
39,LG전자,"70,100","상승
				100",+0.14%,"5,000","114,717","163,648",29.68,"177,426",34.50,1.81,
40,HD현대일렉트릭,"317,000","하락
				4,000",-1.25%,"5,000","114,269","36,047",31.45,"112,411",22.78,39.34,
41,SK스퀘어,"82,700","하락
				1,300",-1.55%,100,"110,444","133,548",51.67,"125,338",3.02,21.70,
42,카카오뱅크,"20,950","상승
				100",+0.48%,"5,000","99,926","476,976",16.86,"124,811",22.70,6.95,
43,LG,"62,700",보합0,0.00%,"5,000","98,628","157,301",34.69,"38,629",17.49,2.16,
44,포스코퓨처엠,"126,300","하락
				2,900",-2.24%,500,"97,836","77,463",9.43,"92,992",-46.08,-7.98,
45,포스코인터내셔널,"53,700","하락
				700",-1.29%,"5,000","94,471","175,923",6.17,"185,153",18.36,8.14,
46,하이브,"226,500","상승
				3,500",+1.57%,500,"94,342","41,652",19.26,"95,604","1,006.67",0.31,
47,유한양행,"115,500","상승
				2,000",+1.76%,"1,000","92,641","80,209",18.34,"313,683",132.91,3.41,
48,삼성전기,"122,300","상승
				2,600",+2.17%,"5,000","91,350","74,694",32.59,"661,264",13.97,8.16,
49,삼성에스디에스,"115,800",보합0,0.00%,500,"89,603","77,378",19.18,"22,207",11.84,8.42,
50,SK,"121,100","하락
				1,800",-1.46%,200,"87,801","72,503",23.28,"32,173",-6.87,-5.64,
