1,삼성전자,"55,050","하락
				1,550",-2.74%,100,"3,258,761","5,919,638",50.18,"8,121,397",11.12,9.03,
2,SK하이닉스,"175,400","하락
				5,200",-2.88%,"5,000","1,276,916","728,002",53.73,"1,736,172",6.45,31.06,
3,LG에너지솔루션,"345,000",보합0,0.00%,500,"807,300","234,000",4.40,"91,424",-79.24,-4.93,
4,삼성바이오로직스,"1,027,000","하락
				7,000",-0.68%,"2,500","730,957","71,174",13.13,"14,072",67.47,10.45,
5,현대차,"184,000","하락
				3,000",-1.60%,"5,000","385,326","209,416",35.93,"324,192",4.00,12.43,
6,삼성전자우,"45,700","하락
				1,000",-2.14%,100,"372,900","815,975",74.16,"402,737",9.23,N/A,
7,한화에어로스페이스,"794,000","상승
				23,000",+2.98%,"5,000","361,914","45,581",47.09,"147,935",16.91,53.94,
8,셀트리온,"159,900","상승
				100",+0.06%,"1,000","356,990","223,258",22.40,"191,812",86.20,2.46,
9,기아,"85,500","하락
				300",-0.35%,"5,000","340,010","397,673",38.72,"256,758",3.50,19.09,
10,HD현대중공업,"357,000","상승
				3,500",+0.99%,"5,000","316,920","88,773",9.90,"148,314",50.99,11.39,
11,KB금융,"78,800","상승
				800",+1.03%,"5,000","310,100","393,528",74.78,"330,973",6.20,8.86,
12,NAVER,"185,400","상승
				1,500",+0.82%,100,"293,742","158,437",48.48,"226,155",15.56,7.90,
13,한화오션,"78,400","하락
				1,000",-1.26%,"5,000","240,228","306,413",11.15,"1,221,246",45.48,11.52,
14,신한지주,"47,400","상승
				300",+0.64%,"5,000","238,633","503,445",57.92,"380,402",5.42,8.11,
15,현대모비스,"241,500",보합0,0.00%,"5,000","224,583","92,995",41.91,"36,523",5.55,9.35,
16,메리츠금융지주,"113,700","하락
				500",-0.44%,500,"209,923","184,629",16.05,"87,417",9.56,23.44,
17,POSCO홀딩스,"255,000","하락
				2,500",-0.97%,"5,000","206,379","80,933",29.43,"72,343",19.51,2.00,
18,삼성물산,"115,100","하락
				300",-0.26%,100,"195,643","169,977",27.82,"39,679",9.37,6.83,
19,크래프톤,"379,000","상승
				10,000",+2.71%,100,"181,583","47,911",41.60,"63,105",13.95,21.10,
20,HMM,"19,310","상승
				90",+0.47%,"5,000","170,129","881,039",9.49,"371,528",3.82,15.35,
21,카카오,"38,100","하락
				750",-1.93%,100,"169,115","443,872",27.95,"770,241",307.26,0.56,
22,삼성화재,"350,500","하락
				500",-0.14%,500,"166,049","47,375",53.61,"13,480",8.55,13.11,
23,하나금융지주,"57,600","상승
				300",+0.52%,"5,000","165,451","287,241",66.56,"178,444",4.47,9.11,
24,HD한국조선해양,"228,500","상승
				2,500",+1.11%,"5,000","161,717","70,773",31.58,"78,253",13.79,11.16,
25,삼성생명,"79,400","하락
				100",-0.13%,500,"158,800","200,000",21.69,"36,981",7.54,6.18,
26,한국전력,"24,400","상승
				250",+1.04%,"5,000","156,639","641,964",16.82,"980,337",4.49,9.22,
27,LG화학,"220,500","하락
				4,500",-2.00%,"5,000","155,656","70,592",31.01,"99,511",-24.99,-2.11,
28,두산에너빌리티,"23,850","하락
				250",-1.04%,"5,000","152,774","640,561",23.68,"1,513,680",137.07,1.52,
29,SK이노베이션,"95,600","하락
				2,100",-2.15%,"5,000","144,389","151,035",13.72,"133,095",-4.50,-9.65,
30,고려아연,"687,000","하락
				7,000",-1.01%,"5,000","142,232","20,703",12.28,"3,324",74.76,2.28,
31,KT&G,"109,900","상승
				2,100",+1.95%,"5,000","134,147","122,062",43.86,"144,934",12.25,12.66,
32,삼성중공업,"14,690","상승
				150",+1.03%,"1,000","129,272","880,000",29.94,"3,643,958",201.23,1.77,
33,KT,"49,000","상승
				1,350",+2.83%,"5,000","123,491","252,022",49.00,"158,561",26.49,2.85,
34,SK텔레콤,"57,200","상승
				1,000",+1.78%,100,"122,860","214,790",42.39,"466,453",9.85,10.83,
35,삼성SDI,"178,200","하락
				4,400",-2.41%,"5,000","122,538","68,765",31.76,"143,939",21.38,3.13,
36,우리금융지주,"16,400","하락
				10",-0.06%,"5,000","121,785","742,592",45.26,"493,893",3.96,9.39,
37,현대로템,"108,800","상승
				4,000",+3.82%,"5,000","118,747","109,142",30.92,"691,844",29.18,21.85,
38,기업은행,"14,400","상승
				40",+0.28%,"5,000","114,829","797,426",13.74,"202,700",4.34,8.06,
39,LG전자,"70,100","상승
				100",+0.14%,"5,000","114,717","163,648",29.68,"176,874",34.50,1.81,
40,HD현대일렉트릭,"317,000","하락
				4,000",-1.25%,"5,000","114,269","36,047",31.45,"111,968",22.78,39.34,
